country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Algeria,1965,1960,4.487,95.513,2883.8779149633037,7.966891165665308,24.833
Algeria,1966,1960,3.313,96.687,2695.1906878501372,7.899224236999604,29.833
Algeria,1967,1960,4.042,95.958,2880.897744467178,7.965857241385276,28.247
Algeria,1968,1960,5.171,94.829,3144.6972420434363,8.05347289805975,30.345
Algeria,1969,1960,2.996,97.004,3368.0318372889083,8.122083828194294,33.539
Algeria,1970,1970,4.395,95.605,3623.525405184463,8.195202699752704,36.759
Algeria,1971,1970,2.311,97.689,3241.465365225761,8.083780779759499,39.733
Algeria,1972,1970,3.086,96.914,3832.648579909649,8.251311378398839,44.648
Algeria,1973,1970,3.933,96.067,3865.497790490246,8.259845747162965,53.251
Algeria,1974,1970,2.347,97.653,4002.8977256958533,8.294773809252206,58.909
Algeria,1975,1970,1.296,98.704,4138.3669738305125,8.328056538237616,70.37
Algeria,1976,1970,1.317,98.683,4214.1131717135495,8.346194450129179,82.102
Algeria,1977,1970,0.829,99.171,4433.36202487919,8.396913497298055,90.213
Algeria,1978,1970,0.613,99.387,4861.1427081328775,8.48902881438718,113.361
Algeria,1979,1970,0.544,99.456,5142.521836061066,8.545298867713734,148.54
Algeria,1980,1980,0.403,99.597,5077.69976834205,8.532613636519498,177.143
Algeria,1981,1980,0.473,99.527,5039.383172773864,8.525038967221201,215.186
Algeria,1982,1980,0.536,99.464,5186.787082888473,8.553869725289982,248.112
Algeria,1983,1980,0.241,99.759,5274.333977863735,8.570607690252169,270.967
Algeria,1984,1980,0.483,99.517,5378.283119724366,8.590124479497524,260.196
Algeria,1985,1980,0.684,99.316,5468.976944360967,8.606846847642323,262.297
Algeria,1986,1980,0.25,99.75,5238.18008093117,8.563729404188633,277.491
Algeria,1987,1980,0.486,99.514,5047.052294297295,8.526559647748302,285.168
Algeria,1988,1980,0.166,99.834,4803.978959737843,8.477199803452116,305.422
Algeria,1989,1980,0.211,99.789,4838.008914464319,8.484258533761148,297.068
Algeria,1990,1990,0.119,99.881,4643.917043886078,8.443313479584608,314.974
Algeria,1991,1990,0.261,99.739,4660.052154005145,8.44678191890366,312.095
Algeria,1992,1990,0.173,99.827,4806.217382983765,8.477665646855638,320.227
Algeria,1993,1990,0.329,99.671,4776.022807128427,8.471363430422935,297.995
Algeria,1994,1990,0.153,99.847,4815.093985977906,8.47951084345562,301.921
Algeria,1995,1990,0.171,99.829,5094.96579240029,8.536008231679485,313.145
Algeria,1996,1990,0.121,99.879,5393.134405846855,8.59288201730497,309.925
Algeria,1997,1990,0.07,99.93,5566.205723942275,8.624468902226063,297.86
Algeria,1998,1990,0.194,99.806,5987.9576550780785,8.697505673884267,308.349
Algeria,1999,1990,0.181,99.819,6339.092170565682,8.754490846415985,311.434
Algeria,2000,2000,0.05,99.95,6748.474821716642,8.817071805997225,299.946
Algeria,2001,2000,0.061,99.939,7130.914507686357,8.872194767131077,310.813
Algeria,2002,2000,0.049,99.951,7727.7006070266125,8.952566633815104,321.951
Algeria,2003,2000,0.214,99.786,8502.306958490839,9.048092812535499,336.922
Algeria,2004,2000,0.194,99.806,9095.591769576864,9.115545154209599,349.778
Algeria,2005,2000,0.408,99.592,9871.996558485243,9.197457397531377,366.272
Algeria,2006,2000,0.153,99.847,10281.655926947533,9.238116608424674,379.22
Algeria,2007,2000,0.15,99.85,10870.76821311973,9.293832650398157,399.64
Algeria,2008,2000,0.176,99.824,11363.958297741248,9.338202073286006,423.557
Algeria,2009,2000,0.2,99.8,11784.798596901104,9.37456572544067,448.859
